title,authors,description,published_date,categories,goodreads_rating
The Guardians,John Grisham,"#1 NEW YORK TIMES BEST SELLER • A classic legal thriller—with a twist. • ""A suspenseful thriller mixed with powerful themes such as false incarceration, the death penalty and how the legal system shows prejudice.” —Associated Press In the small Florida town of Seabrook, a young lawyer named Keith Russo was shot dead at his desk as he worked late one night. The killer left no clues. There were no witnesses, no one with a motive. But the police soon came to suspect Quincy Miller, a young Black man who was once a client of Russo’s. Quincy was tried, convicted, and sent to prison for life. For twenty-two years he languished in prison, maintaining his innocence. But no one was listening. He had no lawyer, no advocate on the outside. In desperation, he writes a letter to Guardian Ministries, a small nonprofit run by Cullen Post, a lawyer who is also an Episcopal minister. Guardian accepts only a few innocence cases at a time. Cullen Post travels the country fighting wrongful convictions and taking on clients forgotten by the system. With Quincy Miller, though, he gets far more than he bargained for. Powerful, ruthless people murdered Keith Russo, and they do not want Quincy Miller exonerated. They killed one lawyer twenty-two years ago, and they will kill another without a second thought. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",2019-10-15,Fiction,4.14
Criss Cross,James Patterson,"SOON TO BE AN ORIGINAL AMAZON PRIME SERIES ________________________________________ 'Sensationally plotted, it leaps off the page and grabs you by the throat' DAILY MAIL 'No one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it.' LEE CHILD 'Alex Cross is a legend.' HARLAN COBEN __________________________________ THE SUNDAY TIMES BESTSELLER Could a ghost from his past take everything away from Alex Cross? Only hours after witnessing the execution of a killer he helped put behind bars, Alex Cross is called to the scene of a copycat murder. A note signed 'M' rests on the corpse: 'You messed up big time, Dr. Cross.' Was an innocent man just put to death? As the executed convict's family launch a vicious campaign against Cross, his abilities as a detective are called into question. The enigmatic 'M' lures Cross out of Washington, DC to the sites of multiple homicides, all marked with distressingly familiar details that conjure up decades-old cases and Cross family secrets. Details that make it clear M is planning to destroy much more than Cross's reputation. __________________________________ Readers say it's one of the best Alex Cross books yet: 'I have to say that this is one of my favourite Alex Cross books in a long time!' 'I read this book in one sitting and highly recommend it. I've read every single Alex Cross book and this one didn't disappoint. It has a great mix of new cases linked to old cases for Cross.' 'Romped through the latest Alex Cross book! Great read that I just couldn't put down.' 'An intriguing storyline involving the Cross family and enemies from his past. A must read for Patterson fans.' 'As always with James Patterson, he had me from the first page, and kept the pace up to the last.' 'Roll on the next instalment.' 'I absolutely loved this book and once I started reading I just couldn't put it down. It's a fast-paced read, no time to take a break or breathe out as the situations and mysteries are on a roll and unstoppable.' 'A great addition to the Cross series by the most known author in the world for mystery thrillers' 'James Patterson is back at the top of his game with this one.' 'I'm a massive fan of the Alex Cross series so I jumped at the chance to review the latest installment, and I'm so pleased it didn't disappoint. It's action-packed right from the start and had me gripped straight away. ' 'This book is fast paced with lots of twists and turns. My first James Patterson but not my last, really enjoyed and so will you.' 'I have long been a fan of the author and his long running Alex Cross series and this book does not disappoint .' 'I think this one constitutes a must read for fans of Patterson and Dr Cross.' __________________________________ 'It's no mystery why James Patterson is the world's most popular thriller writer . . . Simply put: nobody does it better.' JEFFERY DEAVER 'The master storyteller of our times' HILLARY RODHAM CLINTON 'Patterson boils a scene down to the single, telling detail, the element that defines a character or moves a plot along. It's what fires off the movie projector in the reader's mind.' MICHAEL CONNELLY 'One of the greatest storytellers of all time' PATRICIA CORNWELL 'James Patterson is The Boss. End of.' IAN RANKIN",2019-11-14,Fiction,4.26
A Minute to Midnight,David Baldacci,"A Minute to Midnight is the gripping follow up to Long Road to Mercy featuring Special Agent Atlee Pine from one of the world’s most favourite thriller writers, David Baldacci. Without Mercy. At six years old, Atlee’s twin sister, Mercy, was taken from the family home while Atlee was left for dead. Since that fateful night, Atlee has dedicated her life and career to catching those who hurt others. Word of a killer. Atlee has never stopped searching for answers about her sister. A notorious serial killer, locked in a maximum-security prison, continues to haunt her. Does he really know what happened to Mercy? Quest for justice. When Atlee oversteps the mark on the arrest of a dangerous criminal, the FBI gives her a leave of absence – the perfect opportunity to return to where it all began. Determined to finally uncover the truth, Atlee Pine’s journey home turns into a rollercoaster ride of murder, long-buried secrets and lies . . . and a revelation so personal that everything she once believed is fast turning to dust.",2019-11-14,Fiction,4.21
Blue Moon,Lee Child,"AS FEATURED ON RICHARD & JUDY'S 'KEEP READING AND CARRY ON' 'This is one of his best' - The Times Jack Reacher is back in a brand new white-knuckle read from Lee Child. It's a random universe, but once in a blue moon things turn out just right. In a nameless city, two rival criminal gangs are competing for control. But they hadn't counted on Jack Reacher arriving on their patch. Reacher is trained to notice things. He's on a Greyhound bus, watching an elderly man sleeping in his seat, with a fat envelope of cash hanging out of his pocket. Another passenger is watching too ... hoping to get rich quick. As the mugger makes his move, Reacher steps in. The old man is grateful, yet he turns down Reacher's offer to help him home. He's vulnerable, scared, and clearly in big, big trouble. What hold could the gangs have on the old guy? Will Reacher be in time to stop bad things happening? The odds are better with Reacher involved. That's for damn sure. 'Everyone needs to kick some [butt] sometimes, even if it's just imaginary' JOJO MOYES _________ Although the Jack Reacher novels can be read in any order, Blue Moon is the 24th in the series. And be sure not to miss Reacher's newest adventure, no.29, In Too Deep! ***PRE-ORDER NOW***",2019-10-29,Fiction,3.96
The Silent Patient,Alex Michaelides,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION - Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film. Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. READERS LOVE THE SILENT PATIENT ⭐⭐⭐⭐⭐ 'Everything you need from a psychological thriller with a killer twist that is impossible to see coming!' ⭐⭐⭐⭐⭐ 'Fiendishly clever ... believe the hype.' ⭐⭐⭐⭐⭐ 'Grabs your afternoon from the start and never lets go' ⭐⭐⭐⭐⭐ 'A fantastic thriller with an incredible plot twist that I really didn't see coming. I highly recommend.' ⭐⭐⭐⭐⭐ 'OMG, my heart is still pounding from the final chapters of this amazing thriller.' ⭐⭐⭐⭐⭐ 'I'm honestly speechless, best book I have read for a very long time' ⭐⭐⭐⭐⭐ 'The twists when they come, wow oh wow!' CRITICALLY ACCLAIMED 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE",2019-02-05,Fiction,3.93
Twisted Twenty-Six,Janet Evanovich,"This isn't just another case. This is family. How far will Stephanie Plum go to protect the one person who means the most to her? The stakes have never been higher in this #1 New York Times bestseller from Janet Evanovich. Grandma Mazur has decided to get married again - this time to a local gangster named Jimmy Rosolli. If Stephanie has her doubts about this marriage, she doesn't have to worry for long, because the groom drops dead of a heart attack 45 minutes after saying, ""I do."" A sad day for Grandma Mazur turns into something far more dangerous when Jimmy's former ""business partners"" are convinced that his new widow is keeping the keys to a financial windfall all to herself. But the one thing these wise guys didn't count on was the widow's bounty hunter granddaughter, who'll do anything to save her.",2019-11-12,Fiction,4.10
The Testaments,Margaret Atwood,"NEW YORK TIMES BESTSELLER • WINNER OF THE BOOKER PRIZE • A modern masterpiece that ""reminds us of the power of truth in the face of evil” (People)—and can be read on its own or as a sequel to Margaret Atwood’s classic, The Handmaid’s Tale. “Atwood’s powers are on full display” (Los Angeles Times) in this deeply compelling Booker Prize-winning novel, now updated with additional content that explores the historical sources, ideas, and material that inspired Atwood. More than fifteen years after the events of The Handmaid's Tale, the theocratic regime of the Republic of Gilead maintains its grip on power, but there are signs it is beginning to rot from within. At this crucial moment, the lives of three radically different women converge, with potentially explosive results. Two have grown up as part of the first generation to come of age in the new order. The testimonies of these two young women are joined by a third: Aunt Lydia. Her complex past and uncertain future unfold in surprising and pivotal ways. With The Testaments, Margaret Atwood opens up the innermost workings of Gilead, as each woman is forced to come to terms with who she is, and how far she will go for what she believes.",2019-09-10,Fiction,4.19
The Water Dancer,Ta-Nehisi Coates,"#1 NEW YORK TIMES BESTSELLER • OPRAH’S BOOK CLUB PICK • From the National Book Award–winning author of Between the World and Me, a boldly conjured debut novel about a magical gift, a devastating loss, and an underground war for freedom. “This potent book about America’s most disgraceful sin establishes [Ta-Nehisi Coates] as a first-rate novelist.”—San Francisco Chronicle IN DEVELOPMENT AS A MAJOR MOTION PICTURE • Adapted by Ta-Nehisi Coates and Kamilah Forbes, directed by Nia DaCosta, and produced by MGM, Plan B, and Oprah Winfrey’s Harpo Films NOMINATED FOR THE NAACP IMAGE AWARD • NAMED ONE OF PASTE’S BEST NOVELS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY Time • NPR • The Washington Post • Chicago Tribune • Vanity Fair • Esquire • Good Housekeeping • Paste • Town & Country • The New York Public Library • Kirkus Reviews • Library Journal Young Hiram Walker was born into bondage. When his mother was sold away, Hiram was robbed of all memory of her—but was gifted with a mysterious power. Years later, when Hiram almost drowns in a river, that same power saves his life. This brush with death births an urgency in Hiram and a daring scheme: to escape from the only home he’s ever known. So begins an unexpected journey that takes Hiram from the corrupt grandeur of Virginia’s proud plantations to desperate guerrilla cells in the wilderness, from the coffin of the Deep South to dangerously idealistic movements in the North. Even as he’s enlisted in the underground war between slavers and the enslaved, Hiram’s resolve to rescue the family he left behind endures. This is the dramatic story of an atrocity inflicted on generations of women, men, and children—the violent and capricious separation of families—and the war they waged to simply make lives with the people they loved. Written by one of today’s most exciting thinkers and writers, The Water Dancer is a propulsive, transcendent work that restores the humanity of those from whom everything was stolen. Praise for The Water Dancer “Ta-Nehisi Coates is the most important essayist in a generation and a writer who changed the national political conversation about race with his 2015 memoir, Between the World and Me. So naturally his debut novel comes with slightly unrealistic expectations—and then proceeds to exceed them. The Water Dancer . . . is a work of both staggering imagination and rich historical significance. . . . What’s most powerful is the way Coates enlists his notions of the fantastic, as well as his fluid prose, to probe a wound that never seems to heal. . . . Timeless and instantly canon-worthy.”—Rolling Stone",2019-09-24,Fiction,5.00
Becoming,Michelle Obama,"“… bersama, di apartemen kami yang sesak, Ayah dan Ibu mengajariku melihat nilai-nilai dalam setiap kisah kehidupan kami … bahkan saat kisah itu tidak indah atau sempurna ….” Dunia Michelle kecil adalah sebuah apartemen sempit di South Side, Chicago, tempat dia dan saudaranya, Craig, dibesarkan dan dididik untuk menjadi pemberani dan tidak takut bicara. Namun kemudian, kehidupan membawanya jauh melangkah, mulai dari Universitas Princeton—tempat dia belajar merasakan menjadi satu-satunya perempuan kulit hitam di sebuah ruangan—hingga ke kantor pengacara tempat dia bekerja dan bertemu Barack Obama, yang kemudian menjadi suaminya. Pertemuan yang mengubah semua rencana hidupnya. Dalam buku ini, untuk pertama kalinya, Michelle Obama menggambarkan tahun-tahun pertama pernikahannya, ketika dia berjuang menyeimbangkan pekerjaan dan keluarganya dengan karier politik suaminya yang bergerak cepat. Dia juga mengungkap drama pencalonan suaminya sebagai presiden hingga perannya sebagai tokoh yang populer, sekaligus sasaran kritik. Dengan narasi yang anggun, penuh humor, dan keterusterangan, Michelle menuturkan kisah di balik layar kehidupannya selama delapan tahun di Gedung Putih yang membuatnya tak hanya dikenal, tetapi juga semakin mengenal negaranya. Melalui Becoming, sebuah memoar yang jujur dan berani, Michelle Obama menggugah kita untuk bertanya: Who are we and who do we want to become? [Mizan, Noura Books, Nourabooks, Kisah, Klasik, Novel, Memoar, Biografi, Terjemahan, Indonesia]",2019-08-13,Biography & Autobiography,4.35
Me,Elton John,"In his first and only official autobiography, music icon Elton John reveals the truth about his extraordinary life. Me is the joyously funny, honest and moving story of the most enduringly successful singer/songwriter of all time. The Sunday Times bestseller with a new chapter bringing the story up to date. 'The rock memoir of the decade' – Daily Mail 'The rock star's gloriously entertaining and candid memoir is a gift to the reader' – Sunday Times ______________ Christened Reginald Dwight was a shy boy with Buddy Holly glasses who grew up in the London suburb of Pinner and dreamed of becoming a pop star. By the age of twenty-three, he was performing his first gig in America, facing an astonished audience in his bright yellow dungarees, a star-spangled T-shirt and boots with wings. Elton John had arrived and the music world would never be the same again. His life has been full of drama, from the early rejection of his work with songwriting partner Bernie Taupin to spinning out of control as a chart-topping superstar; from half-heartedly trying to drown himself in his LA swimming pool to disco-dancing with the Queen; from friendships with John Lennon, Freddie Mercury and George Michael to setting up his AIDS Foundation. All the while, Elton was hiding a drug addiction that would grip him for over a decade. In Me Elton also writes powerfully about getting clean and changing his life, about finding love with David Furnish and becoming a father. In a voice that is warm, humble and open, this is Elton on his music and his relationships, his passions and his mistakes. This is a story that will stay with you, by a living legend. ______________ 'Self-deprecating, funny . . . You cannot help but enjoy his company throughout, temper tantrums and all' – The Times 'Racy, pacy and crammed with scurrilous anecdotes - what more could you ask from the rocket man' – Guardian (Book of the Week) 'Chatty, gossipy, amusing and at times brutally candid' – Telegraph",2019-10-15,Biography & Autobiography,4.33
