title,authors,description,average_rating,published_date,categories
Fourth wing - Tome 1,Rebecca Yarros,"Passer toutes les épreuves... ou mourir ! Rien ne prédestinait Violet Sorrengail à être une cavalière. Elle était censée intégrer le quadrant des Scribes et mener une vie tranquille parmi les livres. Elle dont les os sont si fragiles qu’ils peuvent se briser en un instant... Mais aujourd’hui est le jour des conscriptions, et en tant que fille de la Générale - elle-même cavalière et dresseuse de dragons -, Violet n’a d’autre choix que de satisfaire les ordres de sa mère, et de rejoindre les épreuves de sélection pour devenir dragonnière... L’élite de la Navarre ! Pourtant, le simple fait d’envisager s’inscrire à cette compétition lui paraît ridicule... Car les dragons ne se lient pas aux humains « fragiles » : ils les brûlent ! Mais Violet est peut-être la candidate la moins forte physiquement, elle est cependant rusée et rapide. Des qualités indispensables quand on évolue dans un monde sans foi ni loi, où les alliés peuvent vite devenir des ennemis, ou peut-être encore des conquêtes... Violet va vite devoir penser à un plan solide, car cette compétition n’a que deux issues : passer toutes les épreuves ou mourir ! ""Une fantasy comme vous n'en avez jamais lu auparavant."" Jennifer L. Armentrout, auteure #1 New York Times bestseller ""J'ai applaudi, j'ai ri, j'ai souri, j'ai réfusé de poser ce livre."" Lexi Ryan, auteure #1 New York Times bestseller ""Les lecteur.rices seront envoûtés et impatients d'en savoir plus."" Publishers Weekly",Note non disponible,2024-02-07,Fiction
We Solve Murders,Richard Osman,"FROM THE #1 BESTSELLING AUTHOR OF THE THURSDAY MURDER CLUB A brand new series. An iconic new detective team. And a thrilling new murder to solve . . . ----- Steve Wheeler is enjoying retired life. He does the odd bit of investigation work, but he prefers his familiar habits and routines: the pub quiz, his favourite bench, his cat waiting for him when he comes home. His days of adventure are over: adrenaline is daughter-in-law Amy’s business now. Amy Wheeler thinks adrenaline is good for the soul. As a private security officer, she doesn’t stay still long enough for habits or routines. She’s currently on a remote island keeping world-famous author Rosie D’Antonio alive. Which was meant to be an easy job . . . Then a dead body, a bag of money and a killer with their sights on Amy have her sending an SOS to the only person she trusts. A breakneck race around the world begins, but can Amy and Steve stay one step ahead of a deadly enemy? ----- Available to pre-order now! ----- PRAISE FOR RICHARD OSMAN ‘Brilliantly suspenseful’ JEFFERY DEAVER ‘Deplorably good’ IAN RANKIN ‘Funny, clever, compelling’ HARLAN COBEN ‘I smiled a million times’ MARIAN KEYES ‘Warm, wise and witty’ VAL MCDERMID ‘Osman just gets better’ SHARI LAPENA ‘The rightful king of crime’ i",Note non disponible,2024-09-12,Fiction
The Butcher Game,Alaina Urquhart,"From the New York Times bestselling author and cohost of chart-topping true crime podcast Morbid comes the thrilling book two in her national bestselling series, told from the dueling perspectives of a notorious serial killer and a medical examiner seeking justice. Destruction follows the ruthless serial killer, Jeremy Rose, the Bayou Butcher, as he heads north to evade capture for his horrific crimes. As he seeks safe harbor with a former friend, he remains focused on unfinished business with forensic pathologist Dr. Wren Muller, the only target who's ever escaped him--twice. But not this time. He's determined to make Wren suffer, and he's promised to make her play by his own twisted rules. Still in shock over the harrowing encounter with her old nemesis, Wren is on forced medical leave in New Orleans, attempting to mend the deep scars of her traumatic past. But with growing evidence that Jeremy is leaving a fresh trail of mutilated victims across Massachusetts, Wren realizes the best way to heal is to renew her pursuit of this vicious killer. She sets her sights on Jeremy, only to discover that she may have walked directly into his trap. As their twisted cat-and-mouse game rachets up to a violent clash of good versus evil, Wren prepares to sacrifice everything to bring Jeremy to justice. With intense true-to-life details from autopsy technician and Morbid podcast cohost, Alaina Urquhart, The Butcher Game is a gripping addition to the New York Times bestselling Dr. Wren Muller series.",Note non disponible,2024-09-17,Fiction
The Women,Kristin Hannah,"A #1 bestseller on The New York Times, USA Today, Washington Post, and Los Angeles Times! From the celebrated author of The Nightingale and The Four Winds comes Kristin Hannah's The Women—at once an intimate portrait of coming of age in a dangerous time and an epic tale of a nation divided. Women can be heroes. When twenty-year-old nursing student Frances “Frankie” McGrath hears these words, it is a revelation. Raised in the sun-drenched, idyllic world of Southern California and sheltered by her conservative parents, she has always prided herself on doing the right thing. But in 1965, the world is changing, and she suddenly dares to imagine a different future for herself. When her brother ships out to serve in Vietnam, she joins the Army Nurse Corps and follows his path. As green and inexperienced as the men sent to Vietnam to fight, Frankie is over-whelmed by the chaos and destruction of war. Each day is a gamble of life and death, hope and betrayal; friendships run deep and can be shattered in an instant. In war, she meets—and becomes one of—the lucky, the brave, the broken, and the lost. But war is just the beginning for Frankie and her veteran friends. The real battle lies in coming home to a changed and divided America, to angry protesters, and to a country that wants to forget Vietnam. The Women is the story of one woman gone to war, but it shines a light on all women who put themselves in harm’s way and whose sacrifice and commitment to their country has too often been forgotten. A novel about deep friendships and bold patriotism, The Women is a richly drawn story with a memorable heroine whose idealism and courage under fire will come to define an era.",Note non disponible,2024-02-06,Fiction
Here One Moment,Liane Moriarty,"“A riveting story so wild you don’t know how she’ll land it, and then she does, on a dime.”—Anne Lamott, #1 New York Times bestselling author If you knew your future, would you try to fight fate? Aside from a delay, there will be no problems. The flight will be smooth, it will land safely. Everyone who gets on the plane will get off. But almost all of them will be forever changed. Because on this ordinary, short, domestic flight, something extraordinary happens. People learn how and when they are going to die. For some, their death is far in the future—age 103!—and they laugh. But for six passengers, their predicted deaths are not far away at all. How do they know this? There were ostensibly more interesting people on the flight (the bride and groom, the jittery, possibly famous woman, the giant Hemsworth-esque guy who looks like an off-duty superhero, the frazzled, gorgeous flight attendant) but none would become as famous as “The Death Lady.” Not a single passenger or crew member will later recall noticing her board the plane. She wasn’t exceptionally old or young, rude or polite. She wasn’t drunk or nervous or pregnant. Her appearance and demeanor were unremarkable. But what she did on that flight was truly remarkable. A few months later, one passenger dies exactly as she predicted. Then two more passengers die, again, as she said they would. Soon no one is thinking this is simply an entertaining story at a cocktail party. If you were told you only had a certain amount of time left to live, would you do things differently? Would you try to dodge your destiny? Liane Moriarty’s Here One Moment is a brilliantly constructed tale that looks at free will and destiny, grief and love, and the endless struggle to maintain certainty and control in an uncertain world. A modern-day Jane Austen who humorously skewers social mores while spinning a web of mystery, Moriarty asks profound questions in her newest I-can’t-wait-to-find-out-what-happens novel.",Note non disponible,2024-09-10,Fiction
The Night We Lost Him,Laura Dave,"Named A Most Anticipated Book of the Fall by Time, Goodreads, and Brit + Co An Oprah Daily Best New Thriller In this riveting novel from the #1 New York Times bestselling author of The Last Thing He Told Me, estranged siblings discover their father has been keeping a secret for more than fifty years, one that may have been fatal... Liame Noone was many things to many people. To the public, he was an exacting, self-made hotel magnate fleeing his past. To his three ex-wives, he was a loving albeit distant family man who kept his finances flush and his families carefully separated. To Nora, he was a father who often loved her from afar—notably, a cliffside cottage perched on the California coast where he fell to his death. The authorities rule the death accidental, but Nora and her estranged brother Sam have other ideas. As Nora and Sam form an uneasy alliance to unravel the mystery, they start putting together the pieces of their father’s past and uncover a family secret that changes everything. With Laura Dave’s trademark blend of soulful suspense and evocative family drama, The Night We Lost Him is a riveting page-turner with a heartbreaking final twist that you will never see coming.",Note non disponible,2024-09-17,Fiction
On m'appelle Demon Copperhead,Barbara Kingsolver,"« Déjà, je me suis mis au monde tout seul. Ils étaient trois ou quatre à assister à l’événement, et ils m’ont toujours accordé une chose : c’est moi qui ai dû me taper le plus dur, vu que ma mère était, disons, hors du coup. » Né à même le sol d’un mobil-home au fin fond des Appalaches d’une jeune toxicomane et d’un père trop tôt disparu, Demon Copperhead est le digne héritier d’un célèbre personnage de Charles Dickens. De services sociaux défaillants en familles d’accueil véreuses, de tribunaux pour mineurs au cercle infernal de l’addiction, le garçon va être confronté aux pires épreuves et au mépris de la société à l’égard des plus démunis. Pourtant, à chacune des étapes de sa tragique épopée, c’est son instinct de survie qui triomphe. Demon saura-t-il devenir le héros de sa propre existence ? Comment ne pas être attendri, secoué, bouleversé par la gouaille, lucide et désespérée, de ce David Copperfield des temps modernes ? S’il raconte sans fard une Amérique ravagée par les inégalités, l’ignorance, et les opioïdes – dont les premières victimes sont les enfants –, le roman de Barbara Kingsolver lui redonne toute son humanité. L’auteur de L’Arbre aux haricots et des Yeux dans les arbres signe là un de ses romans les plus forts, couronné par le prestigieux prix Pulitzer et le Women’s prize for fiction. « C'est là une magnifique démonstration de l'art de la narration. La voix de Demon sonne juste et ses péripéties aussi. » Stephen King « Un David Copperfield des Appalaches ... Demon Copperhead réimagine le roman de Dickens dans une Amérique rurale moderne confrontée à la pauvreté et à la crise des opioïdes ... Le roman de Kingsolver vous emporte avec autant de force que l'original. » The New York Times",Note non disponible,2024-01-31,Fiction
Tell Me Everything: Oprah's Book Club,Elizabeth Strout,"OPRAH’S BOOK CLUB PICK • From Pulitzer Prize–winning author Elizabeth Strout comes a “generous, compassionate novel” (San Francisco Chronicle) about new friendships, old loves, and the very human desire to leave a mark on the world. “A rich tapestry, intricately wrought yet effortlessly realized, both suspenseful and meditative.”—The Boston Globe With her remarkable insight into the human condition and silences that contain multitudes, Elizabeth Strout returns to the town of Crosby, Maine, and to her beloved cast of characters—Lucy Barton, Olive Kitteridge, Bob Burgess, and more—as they deal with a shocking crime in their midst, fall in love and yet choose to be apart, and grapple with the question, as Lucy Barton puts it, “What does anyone’s life mean?” It’s autumn in Maine, and the town lawyer Bob Burgess has become enmeshed in an unfolding murder investigation, defending a lonely, isolated man accused of killing his mother. He has also fallen into a deep and abiding friendship with the acclaimed writer Lucy Barton, who lives down the road in a house by the sea with her ex-husband, William. Together, Lucy and Bob go on walks and talk about their lives, their fears and regrets, and what might have been. Lucy, meanwhile, is finally introduced to the iconic Olive Kitteridge, now living in a retirement community on the edge of town. They spend afternoons together in Olive’s apartment, telling each other stories. Stories about people they have known—“unrecorded lives,” Olive calls them—reanimating them, and, in the process, imbuing their lives with meaning. Brimming with empathy and pathos, Tell Me Everything is Elizabeth Strout operating at the height of her powers, illuminating the ways in which our relationships keep us afloat. As Lucy says, “Love comes in so many different forms, but it is always love.”",Note non disponible,2024-09-10,Fiction
The Perfect Couple,Elin Hilderbrand,"Soon to be a Netflix limited series, from New York Times bestselling author Elin Hilderbrand comes a ""quintessential summer read"" (People) about the many ways family can fill our lives with love -- if they don't kill us first. It's Nantucket wedding season, also known as summer-the sight of a bride racing down Main Street is as common as the sun setting at Madaket Beach. The Otis-Winbury wedding promises to be an event to remember: the groom's wealthy parents have spared no expense to host a lavish ceremony at their oceanfront estate. But it's going to be memorable for all the wrong reasons after tragedy strikes: a body is discovered in Nantucket Harbor just hours before the ceremony-and everyone in the wedding party is suddenly a suspect. As Chief of Police Ed Kapenash interviews the bride, the groom, the groom's famous mystery-novelist mother, and even a member of his own family, he discovers that every wedding is a minefield-and no couple is perfect. Featuring beloved characters from The Castaways, Beautiful Day, and A Summer Affair, The Perfect Couple proves once again that Elin Hilderbrand is the queen of the summer beach read.",Note non disponible,2024-08-06,Fiction
"Something Lost, Something Gained",Hillary Rodham Clinton,"What would it be like to sit down for an impassioned, entertaining conversation with Hillary Clinton? In Something Lost, Something Gained, Hillary offers her candid views on life and love, politics, liberty, democracy, the threats we face, and the future within our reach. She describes the strength she draws from her deepest friendships, her Methodist faith, and the nearly fifty years she’s been married to President Bill Clinton—all with the wisdom that comes from looking back on a full life with fresh eyes. She takes us along as she returns to the classroom as a college professor, enjoys the bonds inside the exclusive club of former First Ladies, moves past her dream of being president, and dives into new activism for women and democracy. From canoeing with an ex-Nazi trying to deprogram white supremacists to sweltering with salt farmers in the desert trying to adapt to the climate crisis in India, Hillary brings us to the front lines of our biggest challenges. For the first time, Hillary shares the story of her operation to evacuate Afghan women to safety in the harrowing final days of America’s longest war. But we also meet the brave women dissidents defying dictators around the world, gain new personal insights about her old adversary Vladimir Putin, and learn the best ways that worried parents can protect kids from toxic technology. We also hear her fervent and persuasive warning to all American voters. In the end, Something Lost, Something Gained is a testament to the idea that the personal is political, and the political is personal, providing a blueprint for what each of us can do to make our lives better. Hillary has “looked at life from both sides now.” In these pages, she shares the latest chapter of her inspiring life and shows us how to age with grace and keep moving forward, with grit, joy, purpose, and a sense of humor.",Note non disponible,2024-09-18,Political Science
